complaint_text,category,severity,recommended_priority
"May nag-operate ng illegal cosmetic surgery clinic",Crime,Critical,1
"Sobrang daming fake insurance agent",Crime,High,1
"May nakita kong nag-ppractice ng fake radiology",Crime,Critical,1
"Yung water dispenser sa barangay sira na",Infrastructure,Low,3
"Walang functioning oxygen tank sa health center",Health,Critical,1
"May nag-conduct ng unauthorized brain surgery claim",Crime,Critical,1
"Sobrang daming illegal seller ng fake antiques",Crime,Medium,2
"May nakita kong nag-ssell ng fake OFW papers",Crime,Critical,1
"Yung picnic table sa park may termite damage",Safety,Medium,2
"Walang designated biohazard disposal area",Health,Critical,1
"May nag-operate ng illegal organ transplant rumor mill",Crime,Critical,1
"Sobrang pangit ng framing ng barangay officials picture",Service,Low,3
"May nakita kong nag-bbenta ng fake college diploma",Crime,High,1
"Yung drinking fountain sa park walang tubig lagi",Infrastructure,Low,3
"Walang proper protocol para sa pandemic response",Health,Critical,1
"May nag-conduct ng fake cancer treatment scam",Crime,Critical,1
"Sobrang daming illegal operator ng ambulance",Crime,Critical,1
"May nakita kong nag-ppractice ng fake surgery",Crime,Critical,1
"Yung barangay tarpaulin sa entrance luma na punit",Infrastructure,Low,3
"Walang functioning nebulizer sa health center",Health,High,1
"May nag-operate ng illegal dialysis center",Crime,Critical,1
"Sobrang daming fake job recruiter sa barangay",Crime,High,1
"May nakita kong nag-ssell ng fake government ID",Crime,Critical,1
"Yung barbecue grill sa covered court rusted",Recreation,Low,3
"Walang designated hazmat team sa barangay",Emergency,High,1
"May nag-conduct ng unauthorized organ donation scam",Crime,Critical,1
"Sobrang daming illegal cyanide fishing",Environment,Critical,1
"May nakita kong nag-bbenta ng fake gun license",Crime,Critical,1
"Yung trash can sa plaza walang cover",Sanitation,Low,3
"Walang proper protocol para sa terrorism threat",Emergency,Critical,1
"May nag-operate ng illegal fertility clinic",Crime,Critical,1
"Sobrang pangit ng condition ng barangay fire truck",Emergency,High,1
"May nakita kong nag-ppractice ng fake anesthesiology",Crime,Critical,1
"Yung barangay banner sa kalsada nakaharang sa view",Safety,Medium,2
"Walang functioning ECG machine sa health center",Health,High,1
"May nag-conduct ng fake HIV treatment scam",Crime,Critical,1
"Sobrang daming illegal coral harvesting",Environment,Critical,1
"May nakita kong nag-ssell ng fake senior citizen ID",Crime,High,1
"Yung bike rack sa barangay kulang ng slots",Infrastructure,Low,3
"Walang designated nuclear emergency protocol",Emergency,Critical,1
"May nag-operate ng illegal plastic surgery clinic",Crime,Critical,1
"Sobrang daming fake lawyer na nag-ooffer ng services",Crime,Critical,1
"May nakita kong nag-bbenta ng fake TIN ID",Crime,Critical,1
"Yung book shelf sa barangay library empty",Service,Low,3
"Walang functioning ultrasound machine sa health center",Health,High,1
"May nag-conduct ng unauthorized transplant surgery rumor",Crime,Critical,1
"Sobrang daming illegal mangrove cutting",Environment,Critical,1
"May nakita kong nag-ppractice ng fake cardiology",Crime,Critical,1
"Yung bulletin board sa barangay walang pushpins",Infrastructure,Low,3
"Walang proper protocol para sa biological threat",Emergency,Critical,1
"May nag-operate ng illegal IVF clinic",Crime,Critical,1
"Sobrang pangit ng maintenance ng barangay generator",Infrastructure,Medium,2
"May nakita kong nag-ssell ng fake PWD ID",Crime,High,1
"Yung water hose sa barangay may butas lahat",Infrastructure,Low,3
"Walang designated mass casualty protocol",Emergency,Critical,1
"May nag-conduct ng fake HIV cure scam",Crime,Critical,1
"Sobrang daming illegal turtle egg harvesting",Environment,Critical,1
"May nakita kong nag-bbenta ng fake SSS ID",Crime,Critical,1
"Yung whiteboard sa barangay office walang marker",Infrastructure,Low,3
"Walang functioning X-ray machine sa health center",Health,High,1
"May nag-operate ng illegal gene therapy clinic",Crime,Critical,1
"Sobrang daming fake real estate agent sa area",Crime,High,1
"May nakita kong nag-ppractice ng fake neurosurgery",Crime,Critical,1
"Yung message board sa barangay entrance walang updates",Service,Low,3
"Walang proper protocol para sa radiological emergency",Emergency,Critical,1
"May nag-conduct ng unauthorized cloning claim",Crime,Critical,1
"Sobrang daming illegal wildlife trading",Environment,Critical,1
"May nakita kong nag-ssell ng fake PhilHealth ID",Crime,Critical,1
"Yung filing cabinet sa barangay walang lock",Security,Medium,2
"Walang functioning CT scan machine access",Health,High,1
"May nag-operate ng illegal surrogacy operation",Crime,Critical,1
"Sobrang pangit ng signage sa barangay evacuation center",Emergency,Medium,2
"May nakita kong nag-bbenta ng fake UMID",Crime,Critical,1
"Yung projector sa barangay hall luma na",Infrastructure,Low,3
"Walang designated EMP protection protocol",Emergency,High,1
"May nag-conduct ng fake stem cell miracle cure",Crime,Critical,1
"Sobrang daming illegal exotic pet breeding",Crime,High,1
"May nakita kong nag-ppractice ng fake oncology",Crime,Critical,1
"Yung public piano sa plaza may broken keys",Recreation,Low,3
"Walang proper protocol para sa active shooter",Emergency,Critical,1
"May nag-operate ng illegal cryonics facility claim",Crime,Critical,1
"Sobrang daming fake immigration consultant",Crime,High,1
"May nakita kong nag-ssell ng fake postal ID",Crime,High,1
"Yung PA system sa barangay intermittent",Infrastructure,Low,3
"Walang functioning MRI access sa area",Health,High,1
"May nag-conduct ng unauthorized genetic testing",Crime,High,1
"Sobrang daming illegal pearl diving operation",Environment,High,1
"May nakita kong nag-bbenta ng fake barangay clearance",Crime,Critical,1
"Yung computer sa barangay sobrang bagal",Infrastructure,Low,3
"Walang designated active threat response team",Emergency,Critical,1
"May nag-operate ng illegal DNA testing facility",Crime,High,1
"Sobrang pangit ng acoustics sa covered court",Infrastructure,Low,3
"May nakita kong nag-ppractice ng fake pathology",Crime,Critical,1
"Yung telescope sa barangay observatory sira",Recreation,Low,3
"Walang proper protocol para sa cyber attack",Emergency,High,1
"May nag-conduct ng fake regenerative medicine scam",Crime,Critical,1
"Sobrang daming illegal seahorse harvesting",Environment,Critical,1
"May nakita kong nag-ssell ng fake voter's ID",Crime,Critical,1
"Yung trophy case sa barangay walang display",Service,Low,3
"Walang functioning dialysis access sa community",Health,Critical,1
"May nag-operate ng illegal chromosome therapy scam",Crime,Critical,1
"Sobrang daming fake travel agency sa area",Crime,High,1
"May nakita kong nag-bbenta ng fake cedula",Crime,High,1
"Yung microphone sa barangay may feedback lagi",Infrastructure,Low,3
"Walang designated WMD response protocol",Emergency,Critical,1
"May nag-conduct ng unauthorized nano-surgery claim",Crime,Critical,1
"Sobrang daming illegal butterfly catching",Environment,Medium,2
"May nakita kong nag-ppractice ng fake dermatology",Crime,High,1
"Yung display case sa barangay may cracked glass",Infrastructure,Low,3
"Walang proper protocol para sa electromagnetic pulse",Emergency,Critical,1
"May nag-operate ng illegal anti-aging clinic scam",Crime,High,1
"Sobrang pangit ng color scheme sa barangay hall",Infrastructure,Low,3
"May nakita kong nag-ssell ng fake business permit",Crime,Critical,1
"Yung timer sa basketball court hindi accurate",Recreation,Low,3
"Walang functioning telemedicine facility",Health,Medium,2
"May nag-conduct ng fake immortality treatment scam",Crime,Critical,1
"Sobrang daming illegal bird nest harvesting",Environment,High,1
"May nakita kong nag-bbenta ng fake professional ID",Crime,Critical,1
"Yung air quality monitor sa barangay sira",Environment,Medium,2
